CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ADMINISTRAÇÃO,8,594-615,VESTIBULAR/ENEM,BACHARELADO,50-60,"GESTÃO DE NEGÓCIOS, FINANÇAS, PESSOAS, ESTRATÉGIAS","2.500,00-4.200,00",15-25,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Foca na gestão de recursos, planejamento estratégico e tomada de decisão para empresas de diversos portes.",Administração - UniFAP,Negócios & Gestão
ADMINISTRAÇÃO EAD,8,540-580,VESTIBULAR/ENEM,BACHARELADO,200+,"GESTÃO DE NEGÓCIOS, FINANÇAS, PESSOAS, ESTRATÉGIAS","2.500,00-4.200,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Mesma grade do presencial, voltada para quem busca flexibilidade de horários na aprendizagem de processos gerenciais.",Administração EAD - UniFAP,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,470-550,VESTIBULAR/ENEM,TECNÓLOGO,40-50,"TI, ANÁLISE DE REQUISITOS, DESENVOLVIMENTO E MANUTENÇÃO","3.800,00-6.500,00",10-20,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Curso focado em projetar, desenvolver e implementar softwares e soluções digitais.",Análise e Desenvolvimento de Sistemas - UniFAP,Tecnologia & TI
ARQUITETURA E URBANISMO,10,610-635,VESTIBULAR/ENEM,BACHARELADO,50,"PLANEJAMENTO, PROJETO E EXECUÇÃO DE OBRAS","3.200,00-5.500,00",12-18,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Une técnica e estética para projetar espaços edificados e planejar o crescimento das cidades de forma sustentável.",Arquitetura e Urbanismo - UniFAP,Humanas & Educação
CIÊNCIAS CONTÁBEIS EAD,8,580-617,VESTIBULAR/ENEM,BACHARELADO,200,"CONTABILIDADE, AUDITORIA E FINANÇAS EMPRESARIAIS","2.500,00-4.200,00",10-15,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Estuda a gestão financeira, tributária e patrimonial de organizações através do registro e análise de dados contábeis.",Ciências Contábeis EAD - UniFAP,Negócios & Gestão
DIREITO,10,684-710,VESTIBULAR/ENEM,BACHARELADO,100,"CARREIRAS JURÍDICAS, ADVOCACIA E ÁREAS AFINS","2.800,00-5.000,00",40-60,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Prepara o aluno para atuar na aplicação das leis, defesa de direitos e mediação de conflitos.",Direito - UniFAP,Humanas & Educação
ENFERMAGEM,10,640-668,VESTIBULAR/ENEM,BACHARELADO,50-60,"CUIDADO, PREVENÇÃO E RECUPERAÇÃO DA SAÚDE","3.100,00-3.500,00",25-35,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Foca no cuidado humano, gestão de serviços de saúde e assistência a pacientes.",Enfermagem - UniFAP,Saúde
ENGENHARIA CIVIL,10,580-610,VESTIBULAR/ENEM,BACHARELADO,50,"PLANEJAMENTO, PROJETO E EXECUÇÃO DE OBRAS","4.500,00-7.200,00",10-20,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Capacita para o projeto, construção e manutenção de obras de infraestrutura e grandes estruturas.",Engenharia Civil - UniFAP,Exatas & Engenharias
ENGENHARIA DE PRODUÇÃO,10,565-590,VESTIBULAR/ENEM,BACHARELADO,40-50,"PLANEJAMENTO, PROJETO E PROCESSOS INDUSTRIAIS","4.500,00-7.200,00",8-15,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Combina engenharia com gestão, focando na otimização de sistemas produtivos e eficiência industrial.",Engenharia de Produção - UniFAP,Exatas & Engenharias
FARMÁCIA,10,615-640,VESTIBULAR/ENEM,BACHARELADO,50,"SAÚDE HUMANA, ANÁLISES CLÍNICAS, COSMÉTICOS","4.400,00-4.800,00",15-25,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Estuda a composição de medicamentos, além de análises clínicas e assistência farmacêutica.",Farmácia - UniFAP,Saúde
FARMÁCIA SEMIPRESENCIAL,10,590-610,VESTIBULAR/ENEM,BACHARELADO,50,"SAÚDE HUMANA, ANÁLISES CLÍNICAS, COSMÉTICOS","4.400,00-4.800,00",10-15,JUAZEIRO DO NORTE,SEMIPRESENCIAL,SÁBADOS/ONLINE,"Mescla o estudo teórico remoto com práticas laboratoriais obrigatórias para a formação do farmacêutico.",Farmácia Semipresencial - UniFAP,Saúde
FISIOTERAPIA,10,626-650,VESTIBULAR/ENEM,BACHARELADO,50-60,"PREVENÇÃO E REABILITAÇÃO DO MOVIMENTO HUMANO","2.600,00-3.800,00",20-30,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Atua na prevenção e reabilitação de distúrbios causados por traumas, doenças ou má formação.",Fisioterapia - UniFAP,Saúde
GESTÃO COMERCIAL,4,550-585,VESTIBULAR/ENEM,TECNÓLOGO,40,"VENDAS, LOGÍSTICA COMERCIAL, ANÁLISE DE MERCADO","2.200,00-3.500,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Curso focado em vendas, relacionamento com clientes e estratégias comerciais.",Gestão Comercial EAD - UniFAP,Negócios & Gestão
GESTÃO DE RECURSOS HUMANOS,4,597-616,VESTIBULAR/ENEM,TECNÓLOGO,40,"RECRUTAMENTO, TREINAMENTO E RETENÇÃO DE TALENTOS","2.200,00-3.500,00",15-25,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Especializa o profissional no desenvolvimento de pessoas e gestão de talentos nas empresas.",Gestão de Recursos Humanos EAD - UniFAP,Negócios & Gestão
MARKETING EAD,4,610-630,VESTIBULAR/ENEM,TECNÓLOGO,200+,"MARKETING DIGITAL, COMPORTAMENTO DO CONSUMIDOR","2.400,00-4.000,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Estuda o comportamento do consumidor e estratégias de comunicação para o ambiente digital.",Marketing EAD - UniFAP,Negócios & Gestão
