CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
MEDICINA,12,750-790,"ENEM, VESTIBULAR",BACHARELADO,50-100,"HOSPITAIS, CLÍNICAS","8.000,00",30-50,JUAZEIRO,PRESENCIAL,INTEGRAL,"Formação médica completa com prática hospitalar.",https://www.estacio.br/cursos/graduacao/medicina,Saúde
ENFERMAGEM,10,600-680,"ENEM, VESTIBULAR",BACHARELADO,80-120,"HOSPITAIS, UTI","2.500,00",40-80,JUAZEIRO,PRESENCIAL,INTEGRAL,"Assistência direta ao paciente.",https://www.estacio.br/cursos/graduacao/enfermagem,Saúde
PSICOLOGIA,10,600-700,ENEM,BACHARELADO,80-120,"CLÍNICA, RH","2.500,00",40-80,JUAZEIRO,PRESENCIAL,MATUTINO/NOTURNO,"Estudo do comportamento humano.",https://www.estacio.br/cursos/graduacao/psicologia,Saúde
FISIOTERAPIA,10,550-650,"ENEM, VESTIBULAR",BACHARELADO,80-150,"REABILITAÇÃO, CLÍNICA","2.500,00",30-60,JUAZEIRO,PRESENCIAL,MATUTINO/NOTURNO,"Tratamento físico e reabilitação.",https://www.estacio.br/cursos/graduacao/fisioterapia,Saúde
FARMÁCIA,10,600-700,"ENEM, VESTIBULAR",BACHARELADO,80-150,"FARMÁCIAS, INDÚSTRIAS","3.000,00",30-60,JUAZEIRO,PRESENCIAL,MATUTINO/NOTURNO,"Produção e controle de medicamentos.",https://www.estacio.br/cursos/graduacao/farmacia,Saúde
NUTRIÇÃO,8,550-650,ENEM,BACHARELADO,80-100,"CLÍNICA, HOSPITAIS","2.500,00",30-60,JUAZEIRO,PRESENCIAL,MATUTINO/NOTURNO,"Alimentação e saúde.",https://www.estacio.br/cursos/graduacao/nutricao,Saúde
DIREITO,10,550-650,ENEM,BACHARELADO,100-150,"ADVOCACIA, CONCURSOS","2.000,00",60-120,JUAZEIRO,PRESENCIAL,NOTURNO,"Leis e atuação jurídica.",https://www.estacio.br/cursos/graduacao/direito,Humanas & Educação
ADMINISTRAÇÃO,8,500-600,ENEM,BACHARELADO,100-200,"RH, FINANCEIRO, MARKETING, LOGÍSTICA","2.000,00",50-100,JUAZEIRO,PRESENCIAL,NOTURNO,"Foca na gestão de organizações, abrangendo marketing, finanças e estratégia.",https://www.estacio.br/cursos/graduacao/administracao,Negócios & Gestão
BIOMEDICINA,8,550-650,ENEM,BACHARELADO,80-100,LABORATÓRIOS,"2.500,00",30-60,JUAZEIRO,PRESENCIAL,MATUTINO/NOTURNO,"Análises clínicas.",https://www.estacio.br/cursos/graduacao/biomedicina,Saúde
MEDICINA VETERINÁRIA,10,600-700,ENEM,BACHARELADO,100,"CLÍNICA, AGRO","2.500,00",30-70,JUAZEIRO,PRESENCIAL,INTEGRAL,"Saúde animal.",https://www.estacio.br/cursos/graduacao/medicina-veterinaria,Saúde
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,450-600,ENEM,TECNÓLOGO,100-200,TI,"3.000,00",30-60,JUAZEIRO,PRESENCIAL,NOTURNO,"Programação e sistemas.",https://www.estacio.br/cursos/graduacao/analise-e-desenvolvimento-de-sistemas,Tecnologia & TI
CIÊNCIA DA COMPUTAÇÃO,8,600-700,ENEM,BACHARELADO,80-120,TECNOLOGIAS,"4.000,00",30-60,JUAZEIRO,PRESENCIAL,NOTURNO,"Computação avançada.",https://www.estacio.br/cursos/graduacao/ciencia-da-computacao,Tecnologia & TI
