CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ADMINISTRAÇÃO,8,580-610,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"GESTÃO, LOGÍSTICA, MARKETING, RH, CONSULTORIA","3.000,00-6.500,00",30-50,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Estudo das organizações, focando em planejamento, liderança, tomada de decisão e gestão de recursos.",Administração | Processo Seletivo,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,560-590,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"PROGRAMAÇÃO, CRIAÇÃO DE APPS, INFRAESTRUTURA DE TI","4.000,00-10.000,00",30-60,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Foco prático em projetar, desenvolver e implementar softwares e aplicativos em curto prazo.",Superior de Tecnologia em Análise e Desenvolvimento de Sistemas | Processo Seletivo,Tecnologia & TI
ARQUITETURA E URBANISMO,10,590-630,ENEM/VESTIBULAR,BACHARELADO,100-120,"PROJETOS, URBANISMO, PAISAGISMO, DESIGN DE INTERIORES","3.500,00-6.000,00",15-25,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Planejamento de espaços internos e externos, aliando estética, funcionalidade e conforto ambiental.",Arquitetura e Urbanismo | Processo Seletivo,Humanas & Educação
BANCO DE DADOS,5,540-570,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ADMINISTRAÇÃO DE DADOS (DBA), SEGURANÇA, BI","4.000,00-7.500,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Especialização em organizar e proteger grandes volumes de dados para suporte à decisão empresarial.",Superior de Tecnologia em Banco de Dados | Processo Seletivo,Tecnologia & TI
CIÊNCIAS AERONÁUTICAS,6,600-640,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"PILOTAGEM COMERCIAL, GESTÃO AEROPORTUÁRIA, SEGURANÇA","5.000,00-12.000,00",5-15,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Formação técnica e teórica para pilotos, abrangendo navegação, meteorologia e gestão aérea.",Ciências Aeronáuticas | Processo Seletivo,Exatas & Engenharias
CIÊNCIAS CONTÁBEIS,8,570-600,ENEM/VESTIBULAR,BACHARELADO,80-100,"AUDITORIA, PERÍCIA, GESTÃO TRIBUTÁRIA, FINANCEIRO","2.800,00-5.000,00",20-35,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Controle financeiro de empresas, envolvendo impostos, balanços, auditoria e saúde patrimonial.",Ciências Contábeis | Processo Seletivo,Negócios & Gestão
CIÊNCIAS ECONÔMICAS,8,580-610,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"MERCADO FINANCEIRO, PLANEJAMENTO, CONSULTORIA PÚBLICA","3.500,00-6.500,00",10-20,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Estudo da produção, distribuição e consumo de bens, focado em mercados e tendências financeiras.",Ciências Econômicas | Processo Seletivo,Negócios & Gestão
COACHING E MENTORING,4,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"LIDERANÇA, RH CORPORATIVO, TREINAMENTO","2.500,00-5.000,00",15-30,JUAZEIRO DO NORTE,EAD,TURNO LIVRE,"Técnicas comportamentais para potencializar o desempenho humano e o desenvolvimento de carreiras.",Superior de Tecnologia em Coaching e Mentoring | Processo Seletivo,Negócios & Gestão
DESIGN DE INTERIORES,4,550-580,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"DECORAÇÃO, VITRINES, CONSULTORIA DE MOBILIÁRIO","2.200,00-4.500,00",15-25,JUAZEIRO DO NORTE,SEMIPRESENCIAL,NOTURNO,"Composição de ambientes internos priorizando a ergonomia, iluminação e o bem-estar do usuário.",Superior de Tecnologia em Design de Interiores | Processo Seletivo,Humanas & Educação
DIREITO,10,620-660,ENEM/VESTIBULAR,BACHARELADO,200-240,"ADVOCACIA, MAGISTRATURA, CONCURSOS PÚBLICOS","3.000,00-7.000,00",40-60,JUAZEIRO DO NORTE,PRESENCIAL,MATUTINO/NOTURNO,"Estudo das leis e normas que regem a sociedade, preparando para a defesa de direitos e justiça.",Direito | Processo Seletivo,Humanas & Educação
